Sune, S, Swimming Left
OLL 	r' U r2 U' r2' U' r2 U r' 	
OLL 	R B' R B R2' U2 F R' F' R 	
OLL 	(y2) l' U l2 U' l2 U' l2 U l' 	
OLL 	r' U2 R2' U R2 U rR U2 R' 	
OLL 	(y') (R U2 R' U' R U' R') (F R U R' U' F') 	
OLL 	(y') F' R U2 R' U2 R' F2 R F' 	
OLL 	(y) x' U' r U2 L' U2 r' U2 L U' x 	
OLL 	(y') F R U' R' U' R U R' U R U' R' F'

City
OLL 	(R U R' U') x D' R' U R E' z' 	
OLL 	(y2) R' U' R U y' x' R U L' U' M' 	
OLL 	R U R' U' y' r' U' R U M' 	
OLL 	(R U R' U') B' l' U R d' D 	
OLL 	(R U R' U') B' (R' F R F') B 	Cube Camera Icon.png[6]
OLL 	R U R' d' l' U' L U r' R 	
OLL 	R U R2 U' R' F R U R U' F' 	
OLL 	(y2) F R U R' U' R' F' r U R U' r' 	
OLL 	(y2) R U2 R' F R U R' U' F' U R U R' 	
OLL 	(R U R' U') y l' U' L U M

Seeing Headlights
OLL 	R' U' R' F R F' U R 	
OLL 	R' U' l' U l F' U R 	
OLL 	(y) F U F l' U' l U' F' 	
OLL 	R U l U' R' U F' l' 	
OLL 	(y2) L F U' R U R' F' L'

Tying, Tying Schoelaces, Key
OLL 	(R U R' U') (R' F R F') 	
OLL 	(y2) (L' U' L U) (L F' L' F) 	
OLL 	R' U' R U l U' R' U x 	
OLL 	R U R' F' U' F R U' R' 	

Suit Up
OLL 	F (R U R' U') F' 	
OLL 	f' (U' L' U L) f 	
OLL 	(y2) f (U R U' R') f' 	
OLL 	(y2) F' (L' U' L U) F

Highway, Freeway
OLL 	(y) R' F (R U R U') R2 F' R2 U' R' (U R U R') 	Cube Camera Icon.png[7]
OLL 	R U2 R2 U' R U' R' U2 F R F' 	
OLL 	R' U2 R2 U R' U R U2 y l' U' l 	
OLL 	r U2 R2 F R F' U2 r' F R F' 	
OLL 	(y) F U' R2 D R' U2 R D' R2' U F' 	
OLL 	(y) R' F R U R' F R U' R' F' R U M' U' M 	
OLL 	L F' L' U' L F' L' U L F L' U' M' U M 	
OLL 	(L F' L' U' L F' L' U L F L' U' L)(R' F R) L' 	
OLL 	R d' R2 D R' U2 R D' R2 d R' 	
OLL 	(y) r U2 R' U' R2 r' U R' U' r U' r' 	
OLL 	(y) r U2 R' U' M (R U R' U') r U' r' 	
OLL 	(y) (F R U R' U' F') R U2 R2 U' R2 U' R2 U2 R 	
OLL 	(y) r U2 R' U' M (R U R' U') r U' r' 	
OLL 	(y) F (R U R' U') S (R U R' U') S' (R U R' U') F' 	
OLL 	R' U' (F R' F' R) F (U R U' R') F' R 

Streetlights, Dead Man
OLL 	r U r' U R U' R' U R U' R' r U' r' 	
OLL 	r' U' r U' R' U R U' R' U R r' U r 	
OLL 	L F L' U R U' R' U R U' R' L F' L' 	
OLL 	F R U R' U' R F' r U R' U' r' 	
OLL 	r U r' U R U' R' M' U R U2 r' 	
OLL 	F R U R' U' F' r U R' U' r' F R F' 	
OLL 	l U l' (U L U' L')2 l U' l'

Ant, Bottlecap
OLL 	F U R U' R' U R U' R' F' 	
OLL 	(y2) f R U R' U' R U R' U' f' 	
OLL 	(y') R' U2 R U R' F R' F' R U R 	

Rice Cooker
OLL 	R' U' R U' R' d R' U R B 	
OLL 	R U R' U R d' R U' R' F' 	
OLL 	R' U' R U' R' U F' U F R 	
OLL 	(y2) R' U' x U R' U' R U R' U' R x' U R 	
OLL 	(R U R' U R U2 R') U (F U R U' R' F') 	
OLL 	(y) (r U2 R' U' R U' r') (F R U R' U' F') 	
OLL 	(y') F R U R' U F' U' F U' F'

Lefty Square, Right back wide antisune, RBWAS
OLL 	(r' U2) (R U R' U r) 	Cube Camera Icon.png[8]
OLL 	(y2) R' F2 L F L' F R 	Cube Camera Icon.png[9]
OLL 	(y2) l' U2 L U L' U l 	
OLL 	(y) x' U' l2 U l F' l U

Righty Square, Right front wide antisune, RFWAS
OLL 	(y2) r U2 R' U' R U' r' 	
OLL 	l U2 L' U' L U' l'

Fung
OLL 	L F' (L' U' L U) F U' L' 	
OLL 	(y2) l U' l' U' R U B U' R' 	
OLL 	(y2) f' L F L' U' L' U L S 	
OLL 	(y2) R U R' F' U' F U R U2 R' 	
OLL 	(y2) R B' R' U' R U B U' R' 	
OLL 	(y2) x' R U' x R' U' R U x' U F' l' 	
OLL 	(y2) F R U R' U' R U R' U' R U' R' U' R U R' F'

Anti-Fung
OLL 	R' F (R U R' U') F' U R 	
OLL 	(y2) f R' F' R U R U' R' S' 	
OLL 	(y2) L' B L U L' U' B' U L

Lightning, Wide Sune
OLL 	r U R' U R U2 r' 	
OLL 	(y) B L F' L F L2 B' 	
OLL 	F R' F' R U2 R U2 R' 	
OLL 	L' U2 L U2 L F' L' F

Anti-Lighting, Left Wide Sune, LWS, Wide Antisune, Reverse Lightning
OLL 	l' U' L U' L' U2 l 	
OLL 	(y2) r' U' R U' R' U2 r 	
OLL 	(y') B' R' F R' F' R2 B 	
OLL 	R U2 R' U2 R' F R F'

Downstairs, Anti-Upstairs
OLL 	F' (L' U' L U) F y F (R U R' U') F' 	
OLL 	R U' R' U' R U' R' U2 F' U F U' R U R' 	
OLL 	(y) r U R' U R' F R F' R U2 r' 	
OLL 	(y') r' R2 U R' U R U2 R' U M'

Upstairs, Anti-Downstairs
OLL 	F (R U R' U') F' U F (R U R' U') F' 	
OLL 	(y) F R U R2 F R y' R2 U R U2 R' 	
OLL 	(y') r R2' U' R U' R' U2 R U' R r' 	
OLL 	(y') M' R' U' R U' R' U2 R U' M

Kite
OLL 	(y') (R U R' U') R' F R2 U R' U' F' 	
OLL 	(y') R' U' R y r U' r' U r U r' 	
OLL 	(y') R' U' R y' x' R U' R' F R U R' x 	
# OLL 	(y') R' U' R x U' R' U y R U y' R U' x' 	
OLL 	(y) L' U' L y l U' l' U l U l' 	
OLL 	R' U' R U' R' U R' F R F' U R 	
OLL 	(y2) R U2 R' M' U' R U' R' U M

Anti-Kite
OLL 	(y') R U R' y R' F R U' R' F' R 	
OLL 	(y') R U R' y' r' U r U' r' U' r 	
OLL 	(y') (R U R' U) (R' F R F') R U2 R' 	
OLL 	(y') (R' U' R U) R B' R2 U' R U B 	
OLL 	(R' M' U2) (R U R' U) (R U R r')

Fish Salad
OLL 	R U2 R2' F R F' R U2 R' 	
OLL 	R U B' R B R2 U R U2 R' 	
OLL 	U' M2 F' U2 F M U2 R U L' x' 	
OLL 	U' S2 L U2 L' S' U2 B' U' F z' 	
OLL 	(y') R' U2 (R l) U' R' U l' U2 R 	
OLL 	(y) R2 D r' U r D' r' U' R' U M' 	
OLL 	f (R U R' U') f' (R U R' U R U2 R')

Untying, Mounted Fish, Untying Shoelaces
OLL 	(y) F R U' R' U' R U R' F' 	
OLL 	(y) R' F R F' U' F' U F 	
OLL 	(y) R' F R F' y' U' R' U R 	
OLL 	(y) F R' F' R U R U' R' 	
OLL 	(y) M' U R U' r' d' L' U L 	
OLL 	x' U' R U l' U' R' U R 	
OLL 	l U' R' U y' R U R' U' z' 	
OLL 	R B' R' B U B U' B' 	
OLL 	R U R' F' U F R U' R' 	
OLL 	(y') r2 D' r U' r' D r U r 	
OLL 	(y2) M' U' L' U l y' U R U' R'

Gun, Trigger
OLL 	F U R U' R2 F' R U R U' R' 	
OLL 	F U R U2 R' U' R U R' F' 	
OLL 	r U' r' U' r U r' y' R' U R 	
OLL 	(y2) x' R U' R' F' R U R' x y R' U R 	
OLL 	(y2) f R U R2 U' R' U R U' f' 	
OLL 	R U2 L' U' L U2 R' U' L F' L' F

Anti-Gun, Anti-Trigger
OLL 	R' F R U R' F' R y' R U' R' 	
OLL 	l' U l U l' U' l y' R U' R' 	
OLL 	(y') R' U' y' R' U R2 B R' U' R' U R 	
OLL 	(y2) B' U' R' U R2 B R' U' R' U R 	
OLL 	(y2) x' L' U L F L' U' L x y' L U' L' 	
OLL 	(y2) r' U r U r' U' r y R U' R' 	
OLL 	L' U2 R U R' U2 L U R' F R F'

Squeegee
OLL 	(y2) l' U' l (L' U' L U) l' U l 	
OLL 	(y2) R' F' R L' U' L U R' F R 	
OLL 	r' U' r R' U' R U r' U r

Anti-Squeegee
OLL 	(y2) r U r' (R U R' U') r U' r' 	
OLL 	(y2) r U M U R' U' r U' r' 	
OLL 	l U l' L U L' U' l U' l'

Spotted Chameleon
OLL 	M U (R U R' U') (R' F R F') M' 	
OLL 	r2 D' r U r' D r2 U' r' U' r 	
OLL 	(y) (R U R' U') (R U' R' F') U' (F R U R') 	
OLL 	(y) R' U2 R2 U R' U' R' U2 F R F' 	
OLL 	(y2) R' F R F' R U2 R' d' L' U' L 	
OLL 	(y2) R' F R F' R U2 R' U' y' R' U' R 	
OLL 	(y2) R2' U' R F R' U R2' U' R' F' R 	
OLL 	(y2) r U2 R' U' R U' r' R' U2 R U R' U R 	
OLL 	x' U' R' U L' U' R2 U' R' U2 r 	
OLL 	(y') (R U R' U R U2 R') U (R U R' U') (R' F R F')

Anti-Spotted Chameleon
OLL 	r' U2 R U R' U r R U2 R' U' R U' R' 	
OLL 	f R U R2 U' R' U R2 U' R' f' 	
OLL 	R2' U R' B' R U' R2' U R B R' 	
OLL 	M U' (L' U' L U) (L F' L' F) M' 	
OLL 	l U' R' U l' U2 R d L U L' 	
OLL 	R B' R' B R' U2 R U y R U R' 	
OLL 	(y2) F U (R U2 R' U')2 F' 	
OLL 	(y2) (L F' L' F) L' U2 L d (R U R') 	
OLL 	(y2) F' L U L2 U L2 U2 L' U F 	
OLL 	(y2) F R' F R2 U' R' U' R U R' F2 	
OLL 	(y2) F U R U' x' U R' D' R U' l' 	
OLL 	(y2) M' U' (R' U' R U) x' (R U' R' U) M x 	
OLL 	(y2) M' U' (R' U' R U) l (U' R' U R) L' 	
OLL 	(y') M' U R U' r' U2 R2 B' R' B R' 	
OLL 	(y') (R' U' R U' R' U2 R) U' (R U R' U') (R' F R F') 	
OLL 	(y2) r2 D r' U' r D' r2' U r U r' 	
OLL 	(y') r' D' r U' r' D r2 U' r' U r U r'

Awkward Fish, Dalmation
OLL 	R U' R' U2 R U y R U' R' y' U' R' 	
OLL 	(y) R U2' R' U' R U' R2 y L' U' L U F 	
OLL 	(y2) F U R U' R' F' R' U2 R U R' U R 	
OLL 	(y2) (R U R' U R U2 R') F (R U R' U') F' 	
OLL 	(y2) r R2 y' R' U' R U y R U' M 	
OLL 	(y2) R2 L z' l' U' R d L U' L l' 	
# OLL 	(y') (L F' L' F)2 L U' L' U L U' L 	
OLL 	(y2) M' R' F' U' F U R U' M 	
OLL 	R' M2 U' F' U F r U' M' 	
OLL 	(y) (R B' R' B)2 R' U' R U R' U' R 	
OLL 	(y') r U2 R' U' R U' r' U' R U R' U R U2 R'

Anti-Awkward Fish, Anti-Dalmation
OLL 	r' R2 y R U R' U' y' R' U M' 	
OLL 	R' U' R U F R U R' U' R' U R U' F' 	
OLL 	L' U L U2 L' U' y' L' U L U F 	
OLL 	(y) R' U2 R U R' U R2 y R U R' U' F' 	
OLL 	(y) (R' F R F')2 R U R' U' R U R' 	
OLL 	(y2) L2 R' z r U L' d' R' U R' r 	
OLL 	(y2) M' U f U R U' R' f' M 	
OLL 	(M R) (f R f') (U' R' U M') 	
OLL 	(M U) (F R U R' U' F') M' 	
OLL 	(R' U' R U' R' U2 R) F (R U R' U') F'

Arrow, Stealth, Arrowhead, Fish
OLL 	r U R' U' r' R U R U' R' 	
OLL 	(y) r U2 R' U' R U' r' R U R' U R U2 R' 	
OLL 	r U R' U R U2 r' R U2 R' U' R U' R' 	
OLL 	(y) r' U' R U' R' U2 r R' U2 R U R' U R 	
OLL 	(y') r' U' R U M' U' R' U R 	
OLL 	r' U2 R U R' U r R' U' R U' R' U2 R 	
OLL 	F R U R' U' F' U2 F R U R' U' F' 	
OLL 	F R U R' U' F2 L' U' L U F 	
OLL 	M U M' U2 M U M' 	
OLL 	(y) M U' M' U2 M U' M' 	
OLL 	U2 M' U M U2 M' U M 	
OLL 	(y') M U M2 U M' U2 M U M 	
OLL 	M U M U M' U' M U' M U M 	
OLL 	M U M' U M U2 M' U' M U' M' 	
OLL 	(y) M U' M U' M' U M U M U' M 	
OLL 	(y2) M U' M2 U' M' U2 M U' M 	
OLL 	(y') M U M' U M U M' U M U M' 	
OLL 	(y') M' U' M U M U M U' M U' M' U M2 	
OLL 	(y') M2 U M' U2 M U M U M U2 M' U M 	
OLL 	(y2) M' U M U' M U' M U M U M' U' M2 	
OLL 	M U' M2 U2 M' U' M U2 M U' M U' M' 	
OLL 	(y') M' U' F2 M2 U' M U F2 U M2 	
OLL 	(y2) M' U F2 M2 U M U' F2 U' M2 	
OLL 	R' F R S R' F' R S' 	
OLL 	L2 S U' S' U L2 U S U S' 	
OLL 	(y) L F' L' S' L F L'S 	
OLL 	(y') M U R U R' U' M' U R U' R' 	
OLL 	R2 F2 L F L' F2 R F' R

Mummy, H, I, Brick
OLL 	R U R' U' M' U R U' r' 	
OLL 	M' U' M' U' M' d2 M' U' M' U' M' 	
OLL 	M' U M' U M' d2 M' U M' U M' 	
OLL 	R U R' U' r R' U R U' r' 	
OLL 	x' M' U' R U M U' R' U x 	
OLL 	R' U' R U M U' R' U r 	
OLL 	M U M U M U2 M' U M' U M' 	
OLL 	M' U M' U M' U M' U2 M' U M' U M' U M' 	
OLL 	M' U' M' U' M' U2 M U' M U' M 	
OLL 	M U M' U' M U M' U M U2 M' 	
OLL 	M' U' M U M' U' M U' M' U2 M 	
OLL 	M U M2 U2 M U M U2 M U' M' U' M' 	
OLL 	M' U' M2 U2 M' U' M' U2 M' U M U M 	
OLL 	M2 U' M U M' U M' U' M' U' M' U M 	
OLL 	M2 U' M' U M U M U' M U' M U M' 	
OLL 	(y) M' U M' U M' U M' U M' U' M' U' M' U' M' 	
OLL 	(y) M' U M U M' U M U' M' U' M 	
OLL 	(y) M' U' M U' M' U' M U M' U M 	
OLL 	(y) M U' M' U' M U' M' U M U M' 	
OLL 	(y) M U M' U M U M' U' M U' M' 	
OLL 	M U M' U' B2 M U M' U' B2 	
OLL 	M' U' M U F2 M' U' M U F2 	
OLL 	M2 U' F2 U' M' U M2 F2 U M 	
OLL 	F M' F U M2 U2 M2 U F' M F' 

Checkers
OLL 	r' R U R U R' U' r2 R2' U R U' r' 	
OLL 	M U R U R' U' M2 U R U' r' 	
OLL 	r U R' U' M2 (U R U' R') U' M' 	
OLL 	x U R' U' M2 U R U' M' x' U' M' 	
OLL 	M' U2 M' U2 M' U M U2 M U2 M 	
OLL 	M' U2 M U2 M' U M U2 M' U2 M 	
OLL 	M U2 M' U2 M U M' U2 M U2 M' U' 	
OLL 	M d r2 U M' U2 M U r2 S' 	
OLL 	M U M F R' F' M2 F R F' U' 	
OLL 	R2 U2 R' F2 U2 R2 F' R2 U2 F2 R U2 R2 U' 	
OLL 	R B U B' R' F2 B D' L' D B' F2 	
OLL 	L' R' F' U2 L2 U2 L2 U2 L2 F L R 	
